Styrsvik
Erik Dahlbergsgatan/Valhallavägen
Valhallavägen/Erik Dahlbergsg
Tegeluddsvägen
Erik Dahlbergsg (Lidingövägen)
Starrbäcksängen
Tennisstadion
Östermalms idrottsplats
Jägmästargatan
Rökubbsgatan
Sandhamnsplan
Kampementsbacken
Storskärsgatan
Rigagatan
Drevergatan
Filmhuset
Humlegården (på Humlegårdsg)
Andra tvärvägen
Tredje tvärvägen
Värtahamnens färjeterminal
Hangövägen
Motalavägen
Hjorthagen
Hjorthagens skola
Skogvaktargatan
Nimrodsgatan
Jaktgatan
Gasverket
Storängskroken
Storängsvägen
Frihamnens färjeterminal
Frihamnen
Frihamnsporten
Lindarängsvägen
Sehlstedtsgatan
Ikiosk
Östhammarsgatan
Malmvägen
Universitetet södra
Frescati
Lektorsstigen
Stora Skuggan
Stora Lappkärrsberget
Professorsslingan
Ekhagsvägen
Ekhagstorget
Bergiusvägen
Ryttarstadion
Naturhistoriska riksmuseet
Frihamnspiren
Kungsholmstorg
Polhemsgatan
Landstingshuset
Kungsholms kyrka
Stadshuset
Pilgatan
John Ericssonsgatan
Pontonjärparken
Fridhemsgatan
Pontonjärgatan
Kungsbroplan
Bolinders plan
Pipersgatan
Rådhuset (på Scheeleg)
Celsiusgatan
Inedalsgatan
Fleminggatan
Scheelegatan/Fleminggatan
Kronobergsg (på K-holms str)
Warfvinges väg
S:t Eriksgatan
Scheelegatan
Fleminggatan
Kronobergsg (på Hantverkarg)
Kellgrensgatan
Mariebergsgatan
S:t Görans sjukhus
Sankt Görans sjukhus
Stadshagsplan
John Bergs plan
Kulturskolans hus
Arbetargatan
Hornsbergshallen
Moa Martinsons torg
Strandbergsgatan
Mariedalsvägen
Eyvind Johnsons gata
Mariedal
Igeldammsgatan
Industrigatan
Fridhemsg (på K-holms strand)
Frödingsvägen
Fredhäll
Vitalisvägen
Viktor Rydbergs gata
Wennerbergsgatan
Olof Dalins väg
Nordenflychtsvägen
Mariedalsvägen
Lindhagensplan
Lindhagensgatan
Västerbroplan
Fria Ukrainas plats
Wivalliusgatan
Marieberg
Luxparken
Lilla Essingen (buss)
Primusgatan
Luxgatan
Essingetorget
Stora Essingen (Essingetorget)
Stenkullavägen
Eremitvägen
Gammelgårdsvägen
Sällskapsvägen
Flottbrovägen
Sofia
Barnängen
Tengdahlsgatan
Sofiaskolan
Barnängsbryggan
Erstagatan
Ersta sjukhus
Folkungagatan
Renstiernas gata(på Folkungag)
Åsögatan (på Renstiernas g)
Renstiernas gata (på Bondeg)
Skånegatan
Klippgatan
Ljusterögatan
Norra Hammarbyhamnen
Södermannagatan
Gotlandsgatan
Malmgårdsvägen
Tullgårdsparken
Björns trädgård
Mjärdgränd
Bohusgatan
Nätgränd
Tjärhovsplan
Glasbruksgatan
Bondegatan
Närkesgatan
Nytorgsgatan
Åsögatan (på Åsögatan)
Krukmakargatan
Mariatorget (på Hornsgatan)
Krukmakargatan (Timmermansg)
Wollmar Yxkullsg (på T.mansg)
Fatbursgatan
Södra station
Riddarhustorget
Riksdagshuset
Slottsbacken
Räntmästartrappan
Mälartorget
Kornhamnstorg
Södersjukhuset
Rosenlund
Eriksdal
Grindsgatan
Hallandsgatan
Åsötorget
Siargatan
Timmermansgränd
Tanto
Jägargatan
Marmorgatan
Rosenlundsgatan ( M Ladulåsg)
Södra station
Wollmar Yxkullsg (på Rosenl.g)
Rosenlundsgatan/Hornsgatan
Hornsgatan/Rosenlundsgatan
Ringvägen
Ansgariegatan (på Hornsgatan)
Varvsgatan
Lignagatan
Ansgariegatan (på Lundagatan)
Högalidskyrkan
Skinnarviken
Varvsgatan
Högalidsgatan
Långholmsgatan
Verkstadsgatan
Reimersholme
Pokalvägen
Anders Reimers väg
Bergsunds strand
Lindvallsplan
Waldemarsudde
Ryssviksvägen
Djurgårdsskolan
Skansen
Liljevalchs/Gröna Lund
Hazeliusporten
Nordiska museet/Vasamuseet
Bellmansro
Berwaldhallen
Ambassaderna
Källhagen
Sjöhistoriska museet
Museiparken
Kaknästornet södra
Kaknäs
Djurgårdsbrunn
Kaknästornet
Skansenslingan
Blockhusudden
Sjöstugan
Thielska galleriet
Isbladskärret
Münchenbryggeriet
Munchenbryggeriet
Manillavägen
Manilla
Edelstams väg
Löjtnantsgränd
Korpralsvägen
Barkarby handelsplats östra
Lansengatan
Flygfältsvägen
Löjtnantsvägen
Kaptensvägen
Danviksklippan
Danviken
Saltsjöqvarn
Danvikshem
Danvikshemsvägen
Östra Finnbodavägen
Henriksdalsviadukten
Henriksdalsberget
Finnboda hamn
Gäddviken
Finnbergsvägen
Finnberget
Kvarnholmen
Mjölnarvägen
Tre kronor
Makaronifabriken
Kvarnholmens Centrum
Tegelvikshamnen
Vikingterminalen
Londonviadukten
Vikingterminalen
Danvikstull
Mandelparken
Nackagatan
Årsta torg
Nockeby/S:ta Birgitta kyrka
Bråviksvägen
Linde
Ottsjövägen
Åmänningevägen
Bolidenvägen
Sköntorp
Tämnarvägen
Årstaskolan
Vättersvägen
Skagersvägen
Ymsenvägen
Sköntorpsplan
Slakthuset
Årstafältet
Asplången
Sävlången
Valla torg
Idlången
Valla gärde
Älvkällevägen
Östbergahöjden västra
Östbergahöjden
Julitavägen
Östberga torg
Branten
Terrassen
Slättåkragränd
Ersta gårdsväg
Marknadsvägen
Frukthandlarvägen
Partihandlarvägen
Årsta gård
Sickla kaj
Luma
Mårtensdal
Solandergatan
Sparrmansvägen
Finn Malmgrens plan
Garagevägen
Hammarbyhallen
Kärrtorpsvägen
Åkervägen
De gamlas väg
Dalgårdsvägen
Understensvägen
Karlsövägen
Kärrtorpsgården
Åstorpsringen
Stångåvägen
Kolbäcksgränd
Byälvsvägen
Rusthållarvägen
Vikstensvägen
Gränsberget
Statsrådsvägen
Holmögaddsvägen
Laxåvägen
Svartbäcksvägen
Letstigen
Djursjukhuset
Voxnegränd
Sjövikstorget
Sjöviksvägen
Ekensberg
Stora Fågelsången
Solfjädern
Trekanten
Kilabergsvägen
Gröndal
Nackspegeln
Bryggvägen
Mörtviken
Fågelsångsvägen
Lina Sandells plan
Årsta hamnväg
Sjöviksbacken nedre
Marievik
Eva Bonniers gata
Svandammsvägen
Nybodahöjden
Sjöviksbacken
Hildebergsvägen
Fruängstorget
Hökmossen
Mejselvägen
Klensmedsvägen
Tellusborgsvägen
Svandammsplan
Majstångsvägen
Kilaberg
Nybodahallen
Bredängsvägen
Mälarhöjdsvägen
Mälarhöjdsbadet
Ålgrytebacken
Minigolfbanan
Stora sällskapets väg
Sätra idrottsplats
Frösätrabacken
Örnsätrabacken
Alsätravägen
Fågeltorget
Erik Segersälls väg
Styrbjörnsvägen
Edvard Swartz plan
Storsvängen
Klubbacken
Selmedalsvägen
Långbroparken
Fredrika Bremers gata
Hjälpmedelscentralen
Västerängsvägen
Dr Widerströms gata
Häradsvägen
Fruängsgården
Västertorps skola
Johannisdalsgatan
Slalomvägen
Bredängs allé
Lugntorpsvägen
Gillegatan
Storsvängen (Slättgårdsv)
Slättens gård
Eksätravägen
Frimurarvägen
Slättgårdsskolan
Vita Liljans väg
Eksätravägen
Storsätragränd
Stensätravägen
Strömsätravägen
Gillsätragränd
Ekholmsvägen
Måsholmstorget
Vårbergsvägen
Murmästarvägen
Vårberg
Skärholmshallen
Skärholmens gårdsväg
Bullerholmsgränd
Stångholmsbacken
Våruddsringen
Vårbergs sjukhem
Rönnholmsgränd
Båtholmsbacken
Svanholmsvägen
Kata Dalströms gata
Juliaborg
Hägerstensåsen (närtrafiken)
Ellen Keys gata
Städrocken
Agnes Lagerstedts gata
Toffelbacken
Brännkyrka kyrka
Parkudden
Örby slott
Tystbergavägen
Elin Wägners gata
Götalandsvägen
Anneboda
Ottesångsvägen
Västberga kyrkogårdsväg
Västberga gårdsväg
Drivhjulsvägen
Elektravägen
Karusellplan
Hanna Ryds gata
Solbergaskolan
Västbergavägen
Kontrollvägen
Bandyvägen
Safirgränd
Kristallvägen
Sulvägen
Pliggvägen
Solberga park
Prästgårdsgärdet
Inteckningsvägen
Hypoteksvägen
Sedelvägen
Valutavägen
Bokbindarvägen
Nyårsvägen
Påskvägen
Vallfartsvägen
Stadsdelsförvaltningen
Skidvägen
Skidtränaren
Stämsvängen
Apoteket
Stöttingsgränd
Terrängvägen
Störtloppsvägen
Telemarksgränd
Stavgränd
Avgiftsvägen
Hodellvägen
Långsjö torg
Gullrisstigen
Vårdkasevägen
Apelvägen
Herrängens gård
Herrängsplan
Segeltorpsgränsen
Vantörsvägen
Stjernströms väg
Gösta Ekmans väg
Skyttes plan
Viktoriavägen
Vivelvägen
Spindelvägen
Bromsvägen
Stockbergsvägen
Myrvägen
Långsjöplan
Axelsbergs servicehus
Sjukhemmet
Västertorpsmotet
Tröskverksvägen
Krattvägen
Spadvägen
Fru Marias väg
Johan Skytteskolan
Tornfalksvägen
Långbrodalsvägen
Isbergavägen
Älvsjögården
Älvsjövägen
Långbrodalsvägen
Vältstigen
Långbrovägen
Kämpetorpsskolan
Nippervägen
Hökmossens gård
Brudkronevägen
Långbrohallen
Gesällbacken
Lilla Sällskapets väg
Ålgrytevägen
Vårbergs centrum
Idholmsvägen
Sköndals centrum
Stora Sköndal
Dalbobranten
Kubbegatan
Sköndalsskolan
Semmelvägen
Spettekaksvägen
Söndagsvägen
Norra Sköndal
N Sköndal
Stora Sköndals väg
Sandåkraskolan
Kokoskakan
Flygledargatan
Vinthundsvägen
Skarpa by
Skarpnäcks gård
Listuddsvägen
Orhems vägskäl
Listuddsfältet
Orhems grindstuga
Orhem
Skarpnäck
Horisontvägen
Vinggatan
Skarpnäcksparken
Skarpnäcks koloniområde
Pungpinan
Kyrkogårdsvägen
Skarpnäcksområdet
Mynttorget
Dalens sjukhus
Källvägen
Stockholmsvägen
Murklevägen
Plantskolevägen
Lindevägen
Tussmötevägen
Sockengränd
Enskede rackethall
Skönviksvägen
Bandhagsvägen
Sävenäsgatan
Sågverksgatan
Gubbängens centrum
Victor Balcks väg
Getfotsvägen
Gubbängens idrottsplats
Gubbängens IP
Postiljonsvägen
Söråkersvägen
Örbyleden
Uppståndelsekapellet
Kvarter 35
Kvarter 34
Kvarter 16
Kvarter 25
Kvarter 52
Kvarter 50
Kvarter 22
Kvarter 45
Kvarter 43
Kvarter 40
Larsboda skola
Filipstadsbacken
Mårbackagatan
Persbergsbacken
Runsätra äng
Perstorpsvägen
Edsvallabacken
Telestaden
Farsta IP
Fryksdalsbacken
Sköndalsbro
Farsta sjukhem
Ågesta broväg
Östmarksgatan
Torsbygatan
Sunneplan
Arvikagatan
Ekebergabacken
Säfflegatan
Diakongränd
Nykroppagatan
Magelungsskolan
Ullerudsbacken
Ekshäradsgatan
Boforsgatan
Kristinehamnsgatan
Storforsplan
Kilsgatan
Farsta gymnasium
Klockelundsvägen
Färnebogatan
Lysviksgatan
Farstavägen
Pepparvägen
Sunnemobacken
Värmlandsbacken
Värmlandsvägen
Farstanäsvägen
Skrakgränd
Edö servicehus
Larsboda trafikplats
Forshagagatan
Molkomsbacken
Lurstigen
Bäverdammsgränd
Gillerbacken
Hardemogatan
Ölmevägen
Örby skola
Bäckahagens skola
Årdalahöjden
Helgestavägen (på Årdalavägen)
Aspövägen (på Årdalavägen)
Ludgovägen
Jädersvägen
Turingevägen
Sjösavägen
Bedaröbacken
Vantörs kyrka
Skebokvarnsvägen
Flensvägen
Helgestavägen (på Sköldingev)
Aspövägen (på Sköldingevägen)
Älvsjömotet
Skebokvarnsvägen/Örbyleden
Havsörnstorget
Vildandsvägen
Skrattmåsvägen
Snösätravägen
Trollesundsvägen
Högdalsdepån
Högdalens industri
Kvicksundsvägen
Selaövägen
Stallarholmsvägen
Lerbäcksgränd
Ormkärrsvägen
Älvsjöbadet
Konsumentvägen
Varuvägen
Rågsvedsvägen
Porlabacken
Frövigatan
Ormkärr
Hagsätramotet
Stjärnsundsgatan
Esplundagränd
Sörabadet
Solskiftesbadet
Torsvikstorg
Sturevägen
Torsvikssvängen
Lejonvägen
Torsviksplatån
Frimurarhemmet
Kottlavägen
Lidingö centrum
Skärsätra skola
Kottlasjön
Ängsklockevägen
Toppmurklevägen
Folkhögskolan
Hantverkshuset
Hersby åker
Hersby gymnasium
Riddarvägen
Södergarnsvägen
Hembyvägen
Lojovägen
Rudboda torg
Grankottevägen
Askrikevägen
Lidingövallen
Kvarnen
Hersbyholm
Sagavägen
Näset
Källängstorget
Högnäsvägen
Ägirvägen
Constantiavägen
Korsfararvägen
Elfvik
Lovik
Skogshem
Fågelöuddevägen
Furutorp (Wijk)
Oskarshäll
Östra Yttringe
Ö Yttringe
Wijk
Fågelöuddebadet
Sticklinge
Karpvägen
Spättvägen
Harrvägen
Friluftsvägen
Golfklubben
Blåklintsvägen
Kalvhagsvägen
Dalängen
Odenvägen
Högsätra
Lidingö sjukhus
Svalvägen
Mosstorpsvägen
Oskarsvägen
Baggeby (på Mosstorpsvägen)
Drottningvägen
Baggeby torg
Gångsätra gård
Lerbovägen
Larsberg (vändslingan)
Larsbergsvägen
Bodals skola
Baggeby gårds väg
Foresta
Stjärnvägen
Millesgården
Båtsmansvägen
Gåshaga strand
Svedjevägen
Fredriksberg
Rudalid
Hustegaholm
Västra Yttringe
Seglarvägen
Björnbo
Bosövägen
Bosön
Stockby
Djursholms torg
Djursholms Sveavägen
Stockhagen
Svanholmsvägen
Långängsskolan
Stocksunds torg
Sjöstigen
Stocksunds station
Mörbylund
Sikrenovägen
Svalnäs gästhem
Djursholms centrum
Svitiodsvägen
Norrängsgården
Framnäsviken
Vikingavägen
Svalnäs allé
Stallbacken
Eddavägen
Danderyds kyrka
Nora backe
Kyrkogårdsvägen
Ekeby gård
Danderyds gymnasium
Lillkalmarvägen
Modgunnvägen
Mörbyskogen
Mörbydalen
Surtvägen
Vasaskolan
Golfvägen
Kevingeringen
Danderydsvallen
Klingsta park
Ekbacken
Borgen
Borgenvägen
Undangömda stigen
Skogsvik
Sätra äng
Torsplan
Baldersvägen
Ridvägen
Solgården
Nora torg
Rinkeby södra
Rinkeby västra
Rinkeby norra
Handelsvägen
Danarövägen
Jaktskyttebanan
Sätra
Sätra prästgård
Danderydsberg
Eneby torg
Enmans väg
Fenixvägen
Skolvägen
Kryddgårdsvägen
Österängsvägen
Roslags Näsby trafikplats
Mycronic
Kryssarvägen
Ångaren
Slottsvägen
Näsby slott
Flottiljvägen
Allégården
Kemistvägen
Klubbvägen
Tibbleskolan
Näsbydal
Grindtorpskyrkan
Grindtorp södra
Grindtorp norra
Kanalvägen
Lahällsviadukten
Gribbylund norra
Norskolan
Örnstigen
Källtorpsvägen
Kuttervägen
Koltrastvägen
Vallarevägen
Viggbyholms gård
Viggbyskolan
Marknadsvägen
Flygsvängen
Viggbyholms trafikplats
Gribbylund södra
Viggbygärdet
Åkerby industriområde
Catalinavägen
Norra Bergtorp
Bergtorpsskolan
Björnvägen
Pilotvägen
Hägernäs (Pilotv)
Flygkårsvägen
Termikvägen
Hägernäs centrum
Flygstigen
Hägernäsvägen
Sippvägen
Granitvägen
Drakskeppsvägen
Hägernäs Pilotvägen
Storstugan
Åkerbyvägen norra
Åkerbyvägen södra
Ensta krog
Runskriftsrondellen
Gästrikevägen
Uttervägen
Sälgvägen
Stråkvägen
Almvägen
Gribbylund västra
Stockholmsvägen
Gribbylunds allé
Forntidsvägen
Dijkmans väg
Predikantvägen
Lansen
Sveavägen
Läsargränd
Skogberga
Löttingelund
Myrängsvägen
Armévägen
Furuvägen
Palmstruchs väg
Gribbylunds centrum
Stockvägen
Svampskogsvägen
Västra Löttingelund
V Löttingelund
Rosenkälla
Lövsättra vägskäl
Torkan
Vågsjö
Gamla Vaxholmsvägen
Skavlöten
Arningerondellen
Kundvägen
Ritarslingan
Saluvägen
Ullna gård
Norrtorpsvägen
Hantverkarvägen
Måttbandsvägen
Linjalvägen
Slalomvägen
Enhagsslingan
Stationsvägen
Storängsvägen
Åva
Roslags Näsby centrum
Näsbyvägen
Ytterbyskolan
Enhagsvägen
Täbybadet
Rösjövägen
Torvmossegränd
Rösjöskolan
Byalagsvägen
Mantalsvägen
Ellagårdsskolan
Skiftesvägen
Rostock
Ellaparksvägen
Täbyvägen
Erikslund
Trädgårdsvägen
Brinkvägen
Milstensvägen
Anbudsvägen
Getvägen
Erikslundsvägen
Täby kyrka
Ymervägen
Hagmovägen
Karby gård
Jarlabankes bro
Runslingan
Jarlabankes väg
Hagbylund norra
Täby kyrkby trafikplats
Skogsbrynet
Östra Byle
Ö Byle
Nannavägen
Bylegård
Miklagårdsvägen
Jarlavägen
Vallentuna idrottsplats
Rosengården
Norrgården
Mörbyvägen
Fabriksvägen
Västanberga
Vallentunabadet
Hjälmstaskolan
Blåmesvägen
Koltrastvägen
Lovisedal
Ryttarvägen
Tallåsvägen
Bällstaberg
Cedersdalsvägen
Uthamravägen
Moränvägen
Ormstaskolan
Molnbyvägen
Veda stuteri
Östra Ormsta
Ö Ormsta
Lingsbergsvägen
Smidesvägen
Hjälmstavägen
Bergvägen
Cedersdal
Olhamra gård
Åsta
Rävsta
Åsta gård
Angarns kyrka
Gillinge
Rocksta
Örsta
Gillingebanan
Johannisberg
Vårdbo
Angarns-Veda
Östgötavägen
Össeby-Granby
Granberga
Stora Karby
Libby
Brottby trafikplats
Sundby
Svista
Smidesvägen
Norrtorp
Össeby-Garns kyrka
Garns Ösby
Norrdal
Norrdal norra
Ådralund
Lövhagen
Brollsta
Angleterre
Stångberga
Västanbergavägen
Söderhalls trafikplats
Söderhalls trafikplats norra
Karlberg
Kristinelund
Löt vägskäl
Torpmossen
Kårsta vägskäl
Lövsättra
Lövlund
Berga
Bergsjödal
Ledinge kvarn
Ledinge by
Lilla Benhamra
Brotorp
Stora Benhamra
Vada kyrka
Vadatorp
Åby (Vada)
Lussinge
Okvistavägen
Gustavslund
Fredens vägskäl
Stängselboda
Västlunda
Lindö
Lindö säteri
Johannesudd
Uthamra
Tunavägen
Karlbergsskolan
Björkesta
Kullaberg
Fågelsångsvägen
Musseronvägen
Ekebydal
Tallhammarsvägen
Lindönäs
Sursta östra
Grana vägskäl
Hassla
Stora Mellösa
Berga
Gällstaberg
Säby
Korshamra
Lilla Lundby
Stora Lundby
Kvarnbacken
Markims Husby
Markims Erikslund
Gällsta
Örsta gård
Markims kyrkväg
Yvlinge
Skrattbacken
Tallebo
Markims gamla skola
Orkesta kyrka
Orkesta Haga
Lövhagsvägen
Gustav Vasaskolan
Solberga
Lindholmen vägskälet
Söderby vägskäl
Söderby gård
Solsta
Sanna vägskäl
Grebylund
Frösunda kyrka
Söderbydal
Stationsvägen
Framnäsvägen
Bergsten
Torsholma
Rolsta
Fågelsunda
Sunnarby vägskäl
Salby
Kårsta-Ekskogens bygdegård
Kårsta torg
Kårsta affär
Ekskogens gård
Lingsberg
Broby
Persborg
Kårsta kyrka
Rickeby
Backa vägskäl
Kårsta skola
Fredriksberg
Lövsta säteri
Hagaskolan
Gillberga
Åkerstorp
Oxenstiernas väg
Össebyvägen
Österåkers kyrka
Båtstorp
Solskiftesvägen
Sjökarbyskolan
Murkelvägen
Pilstugetorget
Runö gård
Ryds Långbro
Stava värdshus
Stava gård
Rallarvägen
Bergavägen
Hackstavägen
Storängsvägen
Alceahuset
Norrgårdsvägen
Sörgårdsvägen
Skånsta
Storvreten
Söraskolan
Högbackavägen
Fjärilsvägen
Margretelunds centrum
Sabelvägen
Trälhavsvägen
Skolvägen
Åkersberga centrum
Norra Bergsättra
N Bergsättra
Tråsättra
Högsättra
Margretelundsskolan
Knipvägen
Skogsrundan
Kungsbacken
Lerviksvägen
Margretelunds såg
Österåkersanstalten
Valsjötorp
Gårdslöten
Flaxenviksvägen
Nya Flaxenviksvägen
Härsbackavägen
Tre gruvors väg
Bombergsvägen
Ektorp mellersta
Fritz Janssons väg
Skärgårdsstad västra
Ekebo
Tallebo
Singö handel
Singö gård
Brännbacken
Skeppsdals vägskäl
Hjälmsättra
Skånsta norra
Solberga
Korsgärdesvägen
Lillsättra
Storgården
Åsättra
Dammbro
Ruggen
Ruggsättra
Norrgården
Boda
Mellangården
Ekhamravägen
Sjöhamra
Gallboda
Bammarboda vägskäl
Skogen
Nykvarn
Nyboda
Fåfängan
Dyvik södra
Dyviks bruk
Dyviksbacken
Lillnäs
Furulund
Björnhuvuds vägskäl
Långbacken
Ljusterö vägskäl
Roslagskulla kyrka
Björktorp
Vira bruk
Norrsand
Brottmora
Östanå färjeläge
Lo
Östanå allé
Styrmyra
Munktorp
Gregersboda
Brudnäs
Kullabyn
Ljusterö färjeläge
Mörtsunda
